"","Emergency","ApplyLeadTime","STG","Service","DIA","Length","Pass","Sch","Material","Weight","MemberCount","JointCount","Making_Co","MakingLT"
"17229","1","정상","30","WD",1,1212,"A","S-80S","SS",20596,3,2,"건일산업(주)",19
"17230","1","정상","30","WD",1,2087,"A","S-80S","SS",1124,3,2,"건일산업(주)",19
"17232","1","정상","30","WD",1,1402,"A","S-80S","SS",21360,3,2,"건일산업(주)",19
"17234","1","정상","30","WD",1,3824,"B","S-80S","SS",8843,6,3,"삼성중공업(주)거제",22
"17239","1","정상","30","WD",1,1636,"B","S-80S","SS",4377,5,2,"삼성중공업(주)거제",27
"17240","0","정상","50","WD",1,104,"B","S-80S","SS",20617,8,7,"건일산업(주)",26
"17241","0","정상","50","WD",1,350,"B","S-80S","SS",4792,9,6,"건일산업(주)",23
"17242","0","정상","50","WD",1,540,"B","S-80S","SS",19284,5,4,"건일산업(주)",15
"17243","1","정상","50","WD",1,1063,"B","S-80S","SS",69,1,0,"건일산업(주)",11
"17244","1","정상","50","WD",1,2172,"B","S-80S","SS",7226,3,2,"건일산업(주)",18
"17245","1","정상","50","WD",2,170,"B","S-10S","SS",18097,5,4,"건일산업(주)",18
"17246","1","정상","30","WD",2,3729,"B","S-10S","SS",11669,9,6,"삼성중공업(주)거제",27
"17247","1","정상","30","WD",2,2563,"B","S-10S","SS",9111,10,8,"삼성중공업(주)거제",27
"17250","0","정상","50","WD",1,491,"B","S-80S","SS",3964,8,7,"건일산업(주)",23
"17251","0","정상","50","WD",1,1055,"B","S-80S","SS",1038,3,2,"건일산업(주)",17
"17252","1","정상","50","WD",1,3072,"B","S-80S","SS",11290,5,4,"건일산업(주)",14
"17254","1","정상","30","FW",8,3140,"A","T-6.35","CN",5169,3,1,"부흥",17
"17255","1","정상","30","FW",6,796,"B","T-6.35","CN",18614,2,1,"부흥",17
"17256","1","정상","50","FW",6,565,"B","T-6.35","CN",20734,5,3,"부흥",29
"17257","1","정상","50","FW",8,804,"B","T-6.35","CN",5128,4,3,"부흥",29
"17258","1","정상","30","FW",8,493,"B","T-6.35","CN",19904,2,1,"부흥",17
"17259","1","정상","50","FW",8,352,"B","T-6.35","CN",1907,6,3,"부흥",29
"17260","1","정상","30","FW",8,3140,"A","T-6.35","CN",5169,3,1,"부흥",17
"17263","1","정상","50","FW",8,5040,"B","T-6.35","CN",21897,7,5,"부흥",29
"17264","1","정상","30","FW",4,1,"A","T-6.35","CN",3141,2,1,"부흥",15
"17265","0","정상","30","FW",6,632,"B","T-6.35","CN",18529,3,1,"부흥",34
"17267","0","정상","30","FW",6,3601,"B","T-6.35","CN",3601,1,0,"부흥",34
"17268","1","정상","30","FW",6,652,"B","T-6.35","CN",21138,4,3,"부흥",32
"17272","1","정상","30","PG",1,3131,"A","S-160","CS",16333,3,2,"성일SIM함안공장",34
"17273","1","정상","30","PG",1,3896,"A","S-160","CS",16403,5,4,"성일SIM함안공장",34
"17274","1","정상","30","PG",1,3131,"A","S-160","CS",16333,3,2,"성일SIM함안공장",34
"17275","1","정상","30","PG",1,3896,"A","S-160","CS",16403,5,4,"성일SIM함안공장",34
"17276","1","정상","30","PG",1,3131,"A","S-160","CS",16333,3,2,"성일SIM함안공장",34
"17277","1","정상","30","PG",1,3090,"A","S-160","CS",20543,7,6,"성일SIM함안공장",34
"17279","1","정상","30","PG",1,3113,"A","S-160","CS",20580,7,6,"성일SIM함안공장",34
"17280","1","정상","40","WM",1,3852,"A","S-160","CS",18032,6,5,"건일산업(주)",28
"17281","1","정상","50","WM",1,1027,"A","S-160","CS",14118,4,3,"건일산업(주)",20
"17283","1","정상","50","WM",1,4961,"A","S-160","CS",7082,2,1,"건일산업(주)",20
