"","Emergency","ApplyLeadTime","STG","Service","DIA","Length","Pass","Sch","Material","Weight","MemberCount","JointCount","Making_Co","After2_Co","PaintingLT"
"2048","1","정상","30","DM",2,4057,"B","S-10S","SS",12914,9,7,"삼성중공업(주)거제","성도",22
"2049","1","정상","50","CHS",0.75,4917,"A","S-80","CS",1109,2,1,"건일산업(주)","건일산업(주)",20
"2051","1","정상","50","N",1,510,"A","S-80","CS",5708,9,8,"건일산업(주)","건일산업(주)",20
"2052","1","정상","50","RN",1.5,1023,"A","S-160","CS",11426,2,1,"건일산업(주)","건일산업(주)",20
"2054","1","정상","40","N",1,2173,"A","S-80","CS",11175,5,4,"건일산업(주)","건일산업(주)",22
"2055","1","정상","40","N",0.75,4917,"A","S-80","CS",952,2,1,"(주)성광테크","(주)성광테크",22
"2056","1","정상","50","CHS",8,1,"A","S-20","CS",16846,3,2,"(주)성광테크","(주)성광테크",22
"2057","1","정상","30","AI",0.75,1592,"B","S-80","CS",21305,3,2,"성일SIM함안공장","하이에어",20
"2058","1","정상","30","AI",0.75,3302,"B","S-80","CS",5304,6,5,"성일SIM함안공장","하이에어",20
"2064","1","정상","30","N",2,367,"B","S-80","CS",6442,7,6,"(주)성광테크","(주)성광테크",20
"2065","1","정상","30","RN",3,647,"B","S-80","CS",19987,8,7,"(주)성광테크","(주)성광테크",20
"2066","1","정상","50","HWS",8,507,"B","S-20","CS",3134,4,3,"건일산업(주)","건일산업(주)",22
"2067","1","정상","50","HWS",8,18,"B","S-20","CS",2458,6,5,"건일산업(주)","건일산업(주)",22
"2069","1","정상","30","AU",1,3072,"A","S-80","CS",1195,2,1,"건일산업(주)","하이에어",27
"2070","1","정상","30","AU",1,2172,"A","S-80","CS",7152,3,2,"건일산업(주)","하이에어",28
"2071","1","정상","30","N",1,1382,"A","S-80","CS",2827,4,3,"(주)성광테크","(주)성광테크",20
"2074","1","정상","30","N",0.75,4917,"A","S-80","CS",952,2,1,"건일산업(주)","하이에어",28
"2075","1","정상","30","AI",1,3885,"A","S-80","CS",14372,3,2,"건일산업(주)","하이에어",23
"2076","1","정상","30","AI",1,1023,"A","S-80","CS",1035,3,2,"건일산업(주)","하이에어",28
"2077","1","정상","30","AI",1,3071,"A","S-80","CS",7049,3,2,"건일산업(주)","하이에어",28
"2078","1","정상","30","AI",1,3862,"A","S-80","CS",14165,2,1,"건일산업(주)","하이에어",23
"2079","1","정상","30","AI",1,3045,"A","S-80","CS",7092,4,3,"건일산업(주)","하이에어",28
"2080","1","정상","40","AI",1,1023,"A","S-80","CS",7359,4,3,"(주)성광테크","(주)성광테크",22
"2081","1","정상","30","AI",0.75,4917,"A","S-80","CS",952,2,1,"건일산업(주)","하이에어",28
"2082","1","정상","30","AI",0.75,4917,"A","S-80","CS",952,2,1,"건일산업(주)","하이에어",28
"2083","1","정상","30","AI",1,3882,"A","S-80","CS",18043,6,5,"건일산업(주)","하이에어",23
"2084","1","정상","30","AI",1,1023,"A","S-80","CS",1025,3,2,"건일산업(주)","하이에어",28
"2085","1","정상","30","AI",1,3136,"A","S-80","CS",17999,5,4,"건일산업(주)","하이에어",23
"2086","1","정상","40","AI",1,1023,"A","S-80","CS",7359,4,3,"건일산업(주)","하이에어",28
"2087","1","정상","30","AI",0.75,4917,"A","S-80","CS",952,2,1,"건일산업(주)","하이에어",28
"2088","1","정상","30","AI",0.75,4917,"A","S-80","CS",952,2,1,"건일산업(주)","하이에어",28
"2089","1","정상","30","AI",1,4574,"A","S-80","CS",18154,6,5,"건일산업(주)","하이에어",23
"2090","1","정상","30","AI",1,1060,"A","S-80","CS",1046,3,2,"건일산업(주)","하이에어",27
"2091","1","정상","30","AI",1,3121,"A","S-80","CS",17982,5,4,"건일산업(주)","하이에어",25
"2092","1","정상","40","AI",1,1023,"A","S-80","CS",7359,4,3,"건일산업(주)","하이에어",28
"2093","1","정상","40","AI",0.75,4917,"A","S-80","CS",952,2,1,"건일산업(주)","하이에어",28
"2094","1","정상","30","AI",0.75,4917,"A","S-80","CS",952,2,1,"건일산업(주)","하이에어",28
"2095","1","정상","40","AI",1.5,1023,"A","S-80","CS",16464,5,4,"(주)성광테크","(주)성광테크",22
"2096","1","정상","40","AI",1.5,1023,"A","S-80","CS",1306,2,1,"(주)성광테크","(주)성광테크",22
"2098","1","정상","40","N",0.75,4917,"A","S-80","CS",952,2,1,"(주)성광테크","(주)성광테크",22
"2099","1","정상","30","AU",1,474,"B","S-80","CS",1639,7,6,"건일산업(주)","건일산업(주)",26
"2100","1","정상","30","N",1,299,"B","S-80","CS",21417,7,6,"건일산업(주)","하이에어",23
"2102","1","정상","30","AI",1.5,1272,"B","S-80","CS",4356,3,2,"(주)성광테크","(주)성광테크",20
"2103","1","정상","30","AI",1.5,211,"B","S-80","CS",20437,5,4,"건일산업(주)","하이에어",26
"2104","1","정상","30","AI",1.5,1274,"B","S-80","CS",4358,3,2,"(주)성광테크","(주)성광테크",20
"2105","1","정상","30","AI",1.5,211,"B","S-80","CS",20437,5,4,"건일산업(주)","하이에어",24
"2106","1","정상","30","AI",2,913,"B","S-80","CS",9118,7,6,"건일산업(주)","건일산업(주)",25
"2108","1","정상","30","AI",0.75,4917,"B","S-80","CS",952,2,1,"건일산업(주)","하이에어",28
"2109","1","정상","30","AU",2,3640,"B","S-80","CS",15595,5,4,"건일산업(주)","건일산업(주)",26
"2110","1","정상","30","AU",2,4638,"B","S-80","CS",17317,5,4,"건일산업(주)","건일산업(주)",26
"2114","1","정상","50","CHS",0.75,4917,"A","S-80","CS",1109,2,1,"건일산업(주)","건일산업(주)",20
"2116","1","정상","40","AI",2,2317,"B","S-80","CS",15571,6,5,"(주)성광테크","(주)성광테크",21
"2121","1","정상","40","N",6,1,"B","S-40","SDSS",20076,4,2,"(주)성광테크","삼녹",21
"2122","1","정상","30","N",6,1,"B","S-40","SDSS",2387,7,4,"(주)성광테크","삼녹",26
"2123","1","정상","50","N",6,1,"B","S-40","CS",4671,1,0,"건일산업(주)","삼녹",21
"2124","1","정상","40","N",8,1,"A","S-20","SDSS",21066,9,8,"건일산업(주)","삼녹",31
"2127","1","정상","50","WD",1,1023,"A","S-80S","SS",48,1,0,"건일산업(주)","하이에어",22
"2129","1","정상","30","DM",2,2112,"A","S-10S","SS",21320,4,3,"삼성중공업(주)거제","성도",26
"2131","1","정상","30","DM",2,4796,"A","S-10S","SS",4314,9,8,"삼성중공업(주)거제","성도",29
"2134","1","정상","30","DM",2,380,"B","S-10S","SS",5321,8,6,"삼성중공업(주)거제","성도",21
"2135","1","정상","30","DM",2,4638,"B","S-10S","SS",12873,7,4,"삼성중공업(주)거제","성도",22
"2136","1","정상","30","DM",2,5022,"B","S-10S","SS",1608,8,7,"삼성중공업(주)거제","성도",32
"2138","1","정상","30","WD",2,1539,"B","S-10S","SS",7542,5,3,"삼성중공업(주)거제","성도",22
"2141","1","정상","30","WD",1,1093,"A","S-80S","SS",967,2,1,"삼성중공업(주)거제","성도",26
"2143","1","정상","50","VA",2,4638,"A","S-10S","SS",13881,6,3,"건일산업(주)","하이에어",23
"2144","1","정상","50","VA",2,3596,"A","S-10S","SS",9940,6,4,"건일산업(주)","하이에어",30
"2145","1","정상","50","VA",2,4638,"A","S-10S","SS",13888,6,3,"건일산업(주)","하이에어",23
"2146","1","정상","40","WD",1,1957,"A","S-80S","SS",2042,4,3,"건일산업(주)","하이에어",24
"2147","1","정상","40","WD",1,4550,"A","S-80S","SS",11295,3,2,"건일산업(주)","하이에어",23
"2148","1","정상","40","WD",1,3121,"A","S-80S","SS",1028,1,0,"건일산업(주)","하이에어",23
"2150","1","정상","30","WD",1,2604,"B","S-80S","SS",6083,6,3,"삼성중공업(주)거제","성도",22
"2151","1","정상","30","WD",2,2886,"B","S-10S","SS",12416,9,6,"삼성중공업(주)거제","성도",26
"2154","1","정상","30","WD",2,2891,"B","S-10S","SS",7894,5,3,"삼성중공업(주)거제","성도",21
"2155","1","정상","40","WD",2,5257,"B","S-10S","SS",2794,8,6,"건일산업(주)","하이에어",24
"2156","1","정상","40","VA",6,652,"B","S-10S","SS",17899,7,5,"건일산업(주)","하이에어",24
"2157","1","정상","30","VA",6,4638,"B","S-10S","SS",1975,7,4,"삼성중공업(주)거제","성도",32
"2158","1","정상","30","VA",6,211,"B","S-10S","SS",13553,5,3,"삼성중공업(주)거제","성도",32
"2159","1","정상","30","VA",2,4638,"","S-10S","SS",10521,3,1,"건일산업(주)","하이에어",31
"2165","1","정상","30","VA",2,1314,"","S-10S","SS",6007,6,4,"건일산업(주)","하이에어",27
"2167","1","정상","30","VA",2,4385,"B","S-10S","SS",12141,6,3,"삼성중공업(주)거제","성도",21
"2168","1","정상","30","VA",2,4952,"B","S-10S","SS",19455,5,3,"삼성중공업(주)거제","성도",21
"2170","1","정상","30","VA",2,4496,"B","S-10S","SS",12368,6,3,"삼성중공업(주)거제","성도",26
"2173","1","정상","30","VA",4,91,"B","S-10S","SS",10409,6,4,"삼성중공업(주)거제","성도",26
"2174","1","정상","40","VA",6,287,"B","S-10S","SS",18429,7,5,"건일산업(주)","하이에어",22
"2176","1","정상","40","VA",6,441,"B","S-10S","SS",14463,5,3,"건일산업(주)","하이에어",22
"2177","1","정상","30","DH",1,1,"B","S-80","CS",20458,8,0,"성일SIM함안공장","삼녹",28
"2178","1","정상","50","FW",4,4328,"A","T-6.35","CN",1958,4,3,"부흥","하이에어",22
"2179","1","정상","40","FA",8,481,"B","T-6.35","CN",3624,4,3,"부흥","하이에어",22
"2180","1","정상","30","PG",1.5,1023,"A","S-160","CS",11212,2,1,"건일산업(주)","건일산업(주)",26
"2181","1","정상","50","CDW",2,3999,"A","S-160","CS",18592,3,2,"(주)성광테크","(주)성광테크",23
"2182","1","정상","30","CDW",2,2544,"A","S-160","CS",17744,5,4,"건일산업(주)","건일산업(주)",22
"2183","1","정상","50","CDW",2,3001,"A","S-160","CS",17219,5,4,"(주)성광테크","(주)성광테크",22
"2184","1","정상","50","DF",2,4476,"A","S-160","CS",19836,3,2,"(주)성광테크","(주)성광테크",22
"2185","1","정상","30","DF",0.5,4917,"A","S-160","CS",147,2,1,"건일산업(주)","건일산업(주)",21
"2186","1","정상","50","DF",2,4175,"A","S-160","CS",20096,7,6,"(주)성광테크","(주)성광테크",25
"2187","1","정상","50","DH",2,2514,"A","S-80","CS",11632,3,2,"(주)성광테크","삼녹",21
"2188","1","정상","40","DH",2,1699,"A","S-80","CS",8119,2,1,"(주)성광테크","삼녹",26
"2189","1","정상","50","DH",2,2509,"A","S-80","CS",11622,3,2,"(주)성광테크","삼녹",21
"2190","1","정상","30","DH",2,1699,"A","S-80","CS",8119,2,1,"건일산업(주)","삼녹",29
"2191","1","정상","50","FCH",2,3643,"A","S-160","CS",19152,4,3,"(주)성광테크","(주)성광테크",28
"2193","1","정상","40","FWH",2,1160,"A","S-160","CS",10423,4,3,"(주)성광테크","(주)성광테크",30
"2194","1","정상","30","FWH",2,648,"A","S-160","CS",12728,8,7,"건일산업(주)","건일산업(주)",22
"2196","1","정상","30","N",2,4740,"A","S-80","CS",2687,6,5,"건일산업(주)","건일산업(주)",22
"2198","1","정상","30","PG",0.5,4917,"A","S-160","CS",147,2,1,"(주)성광테크","(주)성광테크",39
"2199","1","정상","30","PG",0.5,4917,"A","S-160","CS",147,2,1,"(주)성광테크","(주)성광테크",39
"2200","1","정상","30","PG",2,4874,"A","S-80","CS",10214,10,9,"(주)성광테크","(주)성광테크",24
"2201","1","정상","30","PG",0.75,1023,"A","S-160","CS",1155,2,1,"(주)성광테크","(주)성광테크",28
"2203","1","정상","30","CWR",3,62,"A","S-40","CS",8075,5,4,"(주)성광테크","(주)성광테크",22
"2204","1","정상","30","CWR",0.75,1026,"A","S-80","CS",981,2,1,"(주)성광테크","(주)성광테크",28
"2206","1","정상","30","CWR",3,4878,"A","S-40","CS",6586,5,4,"(주)성광테크","(주)성광테크",28
"2207","1","정상","50","CWR",3,4005,"A","S-40","CS",18911,3,2,"(주)성광테크","(주)성광테크",20
