"","Emergency","ApplyLeadTime","STG","Service","DIA","Length","Pass","Sch","Material","Weight","MemberCount","JointCount","Making_Co","MakingLT"
"12350","1","정상","40","DM",1.5,1029,"A","S-80S","SS",11414,2,1,"건일산업(주)",19
"12351","1","정상","40","DM",0.5,4917,"A","S-80S","SS",1060,2,1,"건일산업(주)",19
"12352","1","정상","40","DM",0.5,4917,"A","S-80S","SS",1060,2,1,"삼성중공업(주)거제",48
"12353","1","정상","50","FWL",3,2360,"A","S-40S","SS",13119,1,0,"삼성중공업(주)거제",35
"12354","1","정상","50","FWL",3,4638,"A","S-40S","SS",20246,4,1,"삼성중공업(주)거제",43
"12355","1","정상","40","FWL",3,2304,"A","S-40S","SS",17757,6,4,"삼성중공업(주)거제",40
"12356","1","정상","50","FWL",3,2360,"A","S-40S","SS",13119,1,0,"삼성중공업(주)거제",35
"12357","1","정상","50","FWL",3,4638,"A","S-40S","SS",20774,4,1,"삼성중공업(주)거제",36
"12358","1","정상","40","FWL",3,2507,"A","S-40S","SS",18616,6,4,"삼성중공업(주)거제",40
"12359","1","정상","40","FWL",3,2311,"A","S-40S","SS",12939,1,0,"건일산업(주)",12
"12360","1","정상","40","FWL",3,4638,"A","S-40S","SS",19996,4,1,"건일산업(주)",19
"12361","1","정상","40","FWL",3,1390,"A","S-40S","SS",16801,6,4,"삼성중공업(주)거제",34
"12362","1","정상","40","FWL",3,2311,"A","S-40S","SS",12939,1,0,"건일산업(주)",12
"12363","1","정상","40","FWL",3,4638,"A","S-40S","SS",19996,4,1,"건일산업(주)",29
"12364","1","정상","40","FWL",3,1610,"A","S-40S","SS",17551,6,4,"삼성중공업(주)거제",69
"12365","1","정상","50","VA",3,4373,"A","S-10S","SS",17284,5,3,"삼성중공업(주)거제",43
"12366","1","정상","50","VA",3,4373,"A","S-10S","SS",15623,5,3,"삼성중공업(주)거제",43
"12367","1","정상","50","VA",4,1742,"A","S-10S","SS",13173,4,2,"삼성중공업(주)거제",36
"12368","1","정상","50","VA",6,4373,"A","S-10S","SS",2399,5,3,"삼성중공업(주)거제",36
"12369","1","정상","50","VA",6,3611,"A","S-10S","SS",1848,7,4,"삼성중공업(주)거제",36
"12370","1","정상","50","VA",6,3611,"A","S-10S","SS",1848,7,4,"삼성중공업(주)거제",36
"12371","1","정상","50","VA",6,4373,"A","S-10S","SS",2399,5,3,"삼성중공업(주)거제",36
"12372","0","정상","50","VA",0.5,4638,"B","S-80S","SS",2847,2,0,"삼성중공업(주)거제",52
"12373","1","정상","50","VA",0.5,4638,"B","S-80S","SS",2847,2,0,"삼성중공업(주)거제",35
"12374","0","정상","50","VA",0.75,4638,"B","S-80S","SS",5440,2,0,"삼성중공업(주)거제",52
"12375","0","정상","50","VA",0.75,4638,"B","S-80S","SS",5440,2,0,"삼성중공업(주)거제",52
