"","block_group","block_location","ship_type","weight","business","workday_plan","workday_record"
"378","D","C","BC4",6,"DHMC",5,5
"379","D","C","BC4",6,"DHMC",5,7
"380","E","C","BC4",34,"2YARD",7,1
"381","F","C","BC4",40,"CorpWDHI",7,18
"382","F","C","BC4",60,"CorpWDHI",7,18
"383","F","P","BC4",34,"CorpWDHI",7,12
"384","F","S","BC4",34,"CorpWDHI",7,12
"385","F","P","BC4",28,"CorpWDHI",7,12
"386","F","S","BC4",28,"CorpWDHI",7,12
"387","F","C","BC4",23,"CorpWDHI",7,10
"388","F","C","BC4",25,"CorpWDHI",7,10
"389","F","C","BC4",24,"CorpWDHI",7,10
"390","F","P","BC4",28,"CorpWDHI",7,13
"391","F","S","BC4",30,"CorpWDHI",7,13
"392","F","P","BC4",15,"CorpWDHI",7,13
"393","F","S","BC4",15,"CorpWDHI",7,13
"394","F","P","BC4",15,"CorpWDHI",7,13
"395","F","S","BC4",15,"CorpWDHI",7,13
"396","F","C","BC4",16,"CorpWDHI",7,33
"397","F","C","BC4",30,"CorpWDHI",7,33
"398","F","C","BC4",30,"CorpWDHI",7,33
"399","F","P","BC4",40,"CorpWDHI",7,33
"400","F","S","BC4",40,"CorpWDHI",7,33
"401","F","P","BC4",30,"2YARD",7,6
"402","F","S","BC4",31,"2YARD",7,6
"403","F","P","BC4",6,"2YARD",7,11
"404","F","S","BC4",5,"2YARD",7,11
"405","F","P","BC4",21,"2YARD",7,7
"406","F","S","BC4",23,"2YARD",7,7
"407","F","P","BC4",20,"2YARD",7,24
"408","F","S","BC4",23,"2YARD",7,16
"409","F","C","BC4",3,"2YARD",7,1
"410","F","P","BC4",3,"2YARD",7,1
"411","F","S","BC4",3,"2YARD",7,1
"412","F","P","BC4",2,"2YARD",7,1
"413","F","S","BC4",2,"2YARD",7,1
"414","H","P","BC4",20,"CorpHS",5,18
"415","H","S","BC4",20,"CorpHS",5,18
"416","H","P","BC4",40,"CorpHS",5,18
"417","H","S","BC4",40,"CorpHS",5,18
"418","H","P","BC4",20,"CorpHS",5,18
"419","H","S","BC4",20,"CorpHS",5,18
"420","H","P","BC4",21,"CorpHS",5,18
"421","H","S","BC4",21,"CorpHS",5,18
"422","H","P","BC4",20,"CorpSDmasan",5,24
"423","H","S","BC4",20,"CorpSDmasan",5,24
"424","H","P","BC4",60,"CorpSDmasan",5,24
"425","H","S","BC4",60,"CorpSDmasan",5,24
"426","H","P","BC4",20,"CorpSDmasan",5,24
"427","H","S","BC4",20,"CorpSDmasan",5,24
"428","H","P","BC4",22,"CorpSDmasan",5,24
"429","H","S","BC4",22,"CorpSDmasan",5,24
"430","M","C","BC4",96,"CorpSK1",7,10
"431","M","P","BC4",14,"CorpSK1",7,9
"432","M","S","BC4",19,"CorpSK1",7,13
"433","M","C","BC4",40,"CorpSK1",7,9
"434","M","P","BC4",24,"CorpSK1",8,4
"435","M","C","BC4",77,"CorpSK1",7,5
"436","M","C","BC4",24,"CorpSK1",7,6
"437","M","C","BC4",64,"CorpSK1",7,1
"438","M","C","BC4",31,"CorpSK1",7,1
"439","M","C","BC4",42,"CorpSK1",7,1
"440","M","C","BC4",67,"CorpSK1",7,2
"441","M","P","BC4",10,"CorpSK1",7,7
"442","M","S","BC4",10,"CorpSK1",7,6
"443","M","C","BC4",22,"CorpSK1",7,7
"444","R","P","BC4",36,"MACGREGORKAYABA",7,4
"445","R","S","BC4",36,"MACGREGORKAYABA",7,4
"446","R","P","BC4",42,"MACGREGORKAYABA",7,4
"447","R","S","BC4",42,"MACGREGORKAYABA",7,4
"448","R","P","BC4",33,"MACGREGORKAYABA",7,4
"449","R","S","BC4",33,"MACGREGORKAYABA",7,4
"450","R","P","BC4",33,"MACGREGORKAYABA",7,4
"451","R","S","BC4",33,"MACGREGORKAYABA",7,4
"452","R","P","BC4",33,"MACGREGORKAYABA",7,4
"453","R","S","BC4",33,"MACGREGORKAYABA",7,4
"454","R","P","BC4",41,"MACGREGORKAYABA",7,4
"455","R","S","BC4",41,"MACGREGORKAYABA",7,4
"456","R","P","BC4",33,"MACGREGORKAYABA",7,4
"457","R","S","BC4",33,"MACGREGORKAYABA",7,4
"458","R","P","BC4",33,"MACGREGORKAYABA",7,4
"459","R","S","BC4",33,"MACGREGORKAYABA",7,4
"460","R","P","BC4",28,"MACGREGORKAYABA",7,4
"461","R","S","BC4",28,"MACGREGORKAYABA",7,4
"462","S","P","BC4",44,"CorpSDsacheon",5,23
"463","S","S","BC4",44,"CorpSDsacheon",5,23
"464","S","P","BC4",85,"CorpSDsacheon",5,23
"465","S","S","BC4",85,"CorpSDsacheon",5,23
"466","S","P","BC4",45,"CorpSDsacheon",5,31
"467","S","S","BC4",45,"CorpSDsacheon",5,31
"468","S","P","BC4",95,"CorpSDsacheon",5,31
"469","S","S","BC4",95,"CorpSDsacheon",5,31
