,DIA,Length,Weight,MemberCount,JointCount,Emergency,ApplyLeadTime,BLOCK,STG,Service,NO_Serial,Problem,NO_Base,NO_SetPLT,Pass,Sch,Material,Making_Co,After2_Co,Distribution,PaintingLT
76,1.5,4536,67.998,7,6,1,정상,C020B,3B,CT,50.0,LT부족,SN2126TC020BPP03B0,PP039A1105,B,S-XXS,SS,건일산업(주),하이에어,조선물류,9.0
77,1.5,4536,62.625,7,6,1,정상,C020B,3B,MT,50.0,LT부족,SN2126TC020BPP03B0,PP039A1105,B,S-XXS,SS,건일산업(주),하이에어,조선물류,8.0
78,1.0,1364,6.289,3,1,1,준긴급,C020B,50,WD,50.0,제작지연,SN2126T0C200PP0500,PP05RA1105,B,S-80S,SS,건일산업(주),하이에어,조선물류,11.0
79,3.0,2272,135.606,6,5,1,준긴급,C020B,50,CM,50.0,LT부족,SN2126T0C200PP0500,PP058A1104,B,S-XXS,SS,건일산업(주),하이에어,조선물류,9.0
80,3.0,2486,79.726,3,2,1,준긴급,C020B,50,CM,50.0,LT부족,SN2126T0C200PP0500,PP058A1104,B,S-XXS,SS,건일산업(주),하이에어,조선물류,9.0
81,1.5,1890,18.347,1,0,1,준긴급,C020B,50,MT,50.0,제작지연,SN2126T0C200PP0500,PP05RA1105,B,S-XXS,SS,건일산업(주),하이에어,조선물류,11.0
82,2.0,3337,18.347,4,3,1,정상,C020B,3B,WD,50.0,LT부족,SN2126TC020BPP03B0,PP039A1104,B,S-10S,SS,건일산업(주),하이에어,조선물류,9.0
83,2.0,6000,41.108999999999995,8,6,1,정상,C020B,3B,WD,50.0,LT부족,SN2126TC020BPP03B0,PP039A1104,B,S-10S,SS,건일산업(주),하이에어,조선물류,11.0
84,0.75,79,1.0759999999999998,2,1,1,정상,C020B,3B,WD,50.0,LT부족,SN2126TC020BPP03B0,PP039A1105,B,S-80S,SS,건일산업(주),하이에어,조선물류,13.0
85,1.5,1890,18.347,1,0,1,준긴급,C020B,50,CI,50.0,제작지연,SN2126T0C200PP0500,PP05RA1105,B,S-XXS,SS,건일산업(주),하이에어,조선물류,11.0
86,3.0,6000,178.278,3,2,1,정상,C020B,3B,CM,50.0,LT부족,SN2126TC020BPP03B0,PP039A1104,B,S-XXS,SS,건일산업(주),하이에어,조선물류,13.0
87,3.0,5500,159.497,2,1,1,정상,C020B,3B,CM,50.0,LT부족,SN2126TC020BPP03B0,PP039A1104,B,S-XXS,SS,건일산업(주),하이에어,조선물류,13.0
88,1.5,1890,18.347,1,0,1,준긴급,C020B,50,CT,50.0,제작지연,SN2126T0C200PP0500,PP05RA1105,B,S-XXS,SS,건일산업(주),하이에어,조선물류,11.0
89,2.0,5018,33.016999999999996,8,7,1,정상,C020B,3B,WD,50.0,LT부족,SN2126TC020BPP03B0,PP039A1104,B,S-10S,SS,건일산업(주),하이에어,조선물류,9.0
90,1.0,164,1.44,2,1,1,정상,C020A,50,WD,30.0,제작지연,SN2126T0C100PP0500,PP058A1105,A,S-80S,SS,건일산업(주),하이에어,조선물류,29.0
91,1.0,5510,23.548000000000002,4,2,1,정상,C020A,50,WD,30.0,제작지연,SN2126T0C100PP0500,PP058A1105,A,S-80S,SS,건일산업(주),하이에어,조선물류,27.0
92,3.0,5872,45.104,3,1,1,정상,C020A,50,WD,30.0,제작지연,SN2126T0C100PP0500,PP058A1104,A,S-10S,SS,건일산업(주),하이에어,조선물류,21.0
93,2.0,600,2.38,1,0,1,최소,C020B,70,WD,30.0,LT부족,SN2126T0C200PP0501,PP051A1104,B,S-10S,SS,건일산업(주),하이에어,조선물류,11.0
94,10.0,3276,155.27,1,0,1,정상,C030A,3B,FW,70.0,제작지연,SN2126TC030APP03B0,PP039A1103,A,T-6.35,CN,부흥,하이에어,조선물류,15.0
95,10.0,2378,141.07299999999998,2,1,1,정상,C030A,3B,FW,70.0,제작지연,SN2126TC030APP03B0,PP039A1103,A,T-6.35,CN,부흥,하이에어,조선물류,9.0
96,10.0,4519,242.548,2,1,1,정상,C030A,3B,FW,70.0,제작지연,SN2126TC030APP03B0,PP039A1103,A,T-6.35,CN,부흥,하이에어,조선물류,9.0
97,10.0,6000,554.535,2,1,1,정상,C030A,3B,FW,70.0,제작지연,SN2126TC030APP03B0,PP039A1103,A,T-6.35,CN,부흥,하이에어,조선물류,17.0
98,10.0,879,96.306,3,1,1,정상,C030A,50,FW,70.0,제작지연,SN2126T0C100PP0500,PP05RA1103,A,T-6.35,CN,부흥,하이에어,조선물류,20.0
99,4.0,4164,73.6,2,1,1,정상,C030A,3B,FW,70.0,제작지연,SN2126TC030APP03B0,PP039A1104,A,T-6.35,CN,부흥,하이에어,조선물류,9.0
100,4.0,2896,52.467,2,1,1,정상,C030A,3B,FW,70.0,제작지연,SN2126TC030APP03B0,PP039A1104,A,T-6.35,CN,부흥,하이에어,조선물류,9.0
101,4.0,4398,73.3,1,0,1,정상,C030A,3B,FW,70.0,제작지연,SN2126TC030APP03B0,PP039A1104,A,T-6.35,CN,부흥,하이에어,조선물류,15.0
102,4.0,6000,195.0,2,1,1,정상,C030A,3B,FW,70.0,제작지연,SN2126TC030APP03B0,PP039A1104,A,T-6.35,CN,부흥,하이에어,조선물류,17.0
103,4.0,1212,29.9,3,1,1,정상,C030A,50,FW,70.0,제작지연,SN2126T0C100PP0500,PP05RA1104,A,T-6.35,CN,부흥,하이에어,조선물류,20.0
104,1.0,3705,23.9,6,5,1,정상,C030A,50,FWH,40.0,제작지연,SN2126T0C100PP0500,PP058A1105,A,S-160,CS,(주)성광테크,(주)성광테크,조선물류,24.0
105,1.0,3955,25.688000000000002,6,5,1,정상,C030A,50,FWH,40.0,제작지연,SN2126T0C100PP0500,PP058A1105,A,S-160,CS,(주)성광테크,(주)성광테크,조선물류,24.0
106,1.0,4205,27.471,6,5,1,정상,C030A,50,FWH,40.0,기타,SN2126T0C100PP0500,PP058A1105,A,S-160,CS,건일산업(주),건일산업(주),조선물류,10.0
107,1.0,1485,8.388,3,1,1,정상,C030A,50,FWH,40.0,설계보류,SN2126T0C100PP0500,PP05RA1105,A,S-160,CS,건일산업(주),건일산업(주),조선물류,15.0
108,1.0,1485,8.388,3,1,1,정상,C030A,50,FWH,40.0,설계보류,SN2126T0C100PP0500,PP05RA1105,A,S-160,CS,건일산업(주),건일산업(주),조선물류,15.0
109,1.0,1485,8.388,3,1,1,정상,C030A,50,FWH,40.0,설계보류,SN2126T0C100PP0500,PP05RA1105,A,S-160,CS,건일산업(주),건일산업(주),조선물류,15.0
110,2.0,4943,54.917,1,0,1,정상,C030A,3B,CDW,40.0,제작지연,SN2126TC030APP03B0,PP039A1104,A,S-160,CS,성일SIM함안공장,하이에어,조선물류,12.0
111,2.0,3058,35.304,2,1,1,정상,C030A,3B,CDW,40.0,제작지연,SN2126TC030APP03B0,PP039A1104,A,S-160,CS,성일SIM함안공장,하이에어,조선물류,10.0
112,2.0,6000,67.99,2,1,1,정상,C030A,3B,CDW,40.0,제작지연,SN2126TC030APP03B0,PP039A1104,A,S-160,CS,성일SIM함안공장,하이에어,조선물류,10.0
113,2.0,3974,44.151,1,0,1,정상,C030A,3B,CDW,40.0,제작지연,SN2126TC030APP03B0,PP039A1104,A,S-160,CS,성일SIM함안공장,하이에어,조선물류,12.0
114,2.0,5600,62.216,1,0,1,정상,C030A,3B,CDW,40.0,제작지연,SN2126TC030APP03B0,PP039A1104,A,S-160,CS,성일SIM함안공장,하이에어,조선물류,12.0
116,6.0,5286,159.322,2,1,1,정상,C030A,3B,FWH,40.0,제작지연,SN2126TC030APP03B0,PP039A1104,A,S-40,CS,성일SIM함안공장,하이에어,조선물류,10.0
117,6.0,2702,86.29899999999999,2,1,1,정상,C030A,3B,FWH,40.0,제작지연,SN2126TC030APP03B0,PP039A1104,A,S-40,CS,성일SIM함안공장,하이에어,조선물류,19.0
118,6.0,2723,78.092,4,3,1,정상,C030A,3B,FWH,40.0,제작지연,SN2126TC030APP03B0,PP039A1104,A,S-40,CS,성일SIM함안공장,하이에어,조선물류,10.0
119,6.0,6000,344.21,5,4,1,정상,C030A,3B,FWH,40.0,제작지연,SN2126TC030APP03B0,PP039A1104,A,S-40,CS,성일SIM함안공장,하이에어,조선물류,9.0
120,6.0,409,21.498,2,1,1,정상,C030A,50,FWH,40.0,기타,SN2126T0C100PP0500,PP058A1104,A,S-40,CS,건일산업(주),건일산업(주),조선물류,14.0
121,2.0,5500,48.31,3,2,1,정상,C030A,3B,AI,40.0,제작지연,SN2126TC030APP03B0,PP039A1104,A,S-80,CS,성일SIM함안공장,하이에어,조선물류,12.0
122,2.0,4218,40.491,3,2,1,정상,C030A,3B,AI,40.0,제작지연,SN2126TC030APP03B0,PP039A1104,A,S-80,CS,성일SIM함안공장,하이에어,조선물류,12.0
123,2.0,6000,50.25,3,2,1,정상,C030A,3B,AI,40.0,제작지연,SN2126TC030APP03B0,PP039A1104,A,S-80,CS,성일SIM함안공장,하이에어,조선물류,12.0
124,2.0,3058,28.244,3,2,1,정상,C030A,3B,AI,40.0,제작지연,SN2126TC030APP03B0,PP039A1104,A,S-80,CS,성일SIM함안공장,하이에어,조선물류,12.0
125,0.75,100,1.12,2,1,1,정상,C030A,50,AI,40.0,제작지연,SN2126T0C100PP0500,PP058A1105,A,S-80,CS,(주)성광테크,(주)성광테크,조선물류,12.0
126,2.0,1327,16.226,4,2,1,정상,C030A,50,AI,40.0,제작지연,SN2126T0C100PP0500,PP05RA1104,A,S-80,CS,건일산업(주),건일산업(주),조선물류,25.0
127,2.0,6000,54.72,4,3,1,정상,C030A,3B,AU,40.0,제작지연,SN2126TC030APP03B0,PP039A1104,A,S-80,CS,성일SIM함안공장,하이에어,조선물류,12.0
128,2.0,6000,49.35,2,1,1,정상,C030A,3B,AU,40.0,제작지연,SN2126TC030APP03B0,PP039A1104,A,S-80,CS,성일SIM함안공장,하이에어,조선물류,12.0
129,2.0,2584,24.698,3,2,1,정상,C030A,3B,AU,40.0,제작지연,SN2126TC030APP03B0,PP039A1104,A,S-80,CS,성일SIM함안공장,하이에어,조선물류,12.0
130,2.0,3008,27.87,3,2,1,정상,C030A,3B,AU,40.0,제작지연,SN2126TC030APP03B0,PP039A1104,A,S-80,CS,성일SIM함안공장,하이에어,조선물류,12.0
131,2.0,5212,46.156000000000006,3,2,1,정상,C030A,3B,AU,40.0,제작지연,SN2126TC030APP03B0,PP039A1104,A,S-80,CS,성일SIM함안공장,하이에어,조선물류,12.0
132,2.0,1394,14.027000000000001,3,2,1,정상,C030A,50,AU,40.0,제작지연,SN2126T0C100PP0500,PP05RA1104,A,S-80,CS,건일산업(주),건일산업(주),조선물류,25.0
133,2.0,6000,56.52,4,3,1,정상,C030A,3B,N,40.0,제작지연,SN2126TC030APP03B0,PP039A1104,A,S-80,CS,성일SIM함안공장,하이에어,조선물류,12.0
134,2.0,3818,33.029,2,1,1,정상,C030A,3B,N,40.0,제작지연,SN2126TC030APP03B0,PP039A1104,A,S-80,CS,성일SIM함안공장,하이에어,조선물류,12.0
135,2.0,6000,49.35,2,1,1,정상,C030A,3B,N,40.0,제작지연,SN2126TC030APP03B0,PP039A1104,A,S-80,CS,성일SIM함안공장,하이에어,조선물류,12.0
136,2.0,3058,29.144000000000002,4,3,1,정상,C030A,3B,N,40.0,제작지연,SN2126TC030APP03B0,PP039A1104,A,S-80,CS,성일SIM함안공장,하이에어,조선물류,15.0
137,2.0,4412,40.332,4,3,1,정상,C030A,3B,N,40.0,제작지연,SN2126TC030APP03B0,PP039A1104,A,S-80,CS,성일SIM함안공장,하이에어,조선물류,12.0
138,0.75,100,1.12,2,1,1,정상,C030A,50,N,40.0,제작지연,SN2126T0C100PP0500,PP058A1105,A,S-80,CS,(주)성광테크,(주)성광테크,조선물류,12.0
139,2.0,1394,14.027000000000001,3,2,1,정상,C030A,50,N,40.0,제작지연,SN2126T0C100PP0500,PP05RA1104,A,S-80,CS,건일산업(주),건일산업(주),조선물류,25.0
140,2.0,4612,41.828,4,3,1,정상,C030A,3B,AI,40.0,제작지연,SN2126TC030APP03B0,PP039A1104,A,S-80,CS,성일SIM함안공장,하이에어,조선물류,12.0
141,12.0,4333,1107.14,1,0,0,정상,C030B,3B,PG,88.0,설계보류,SN2126TC030BPP03B0,PP039A1103,B,T-36,LTCS,건일산업(주),하이에어,조선물류,12.0
142,12.0,5000,2555.13,2,1,0,정상,C030B,3B,PG,88.0,설계보류,SN2126TC030BPP03B0,PP039A1103,B,T-36,LTCS,건일산업(주),건일산업(주),조선물류,35.0
