,After2_Co,ApplyLeadTime,BLOCK,DIA,Distribution,Emergency,JointCount,Length,Making_Co,Material,MemberCount,NO_Base,NO_Serial,NO_SetPLT,No_row,PaintingLT,Pass,Problem,STG,Sch,Service,Weight
75,하이에어,준긴급,C020B,1.5,조선물류,1.0,0.0,1890.0,건일산업(주),SS,1.0,SN2126T0C200PP0500,50.0,PP05RA1105,80,11.0,B,제작지연,50,S-XXS,MT,18.347
76,하이에어,정상,C020B,2.0,조선물류,1.0,3.0,3337.0,건일산업(주),SS,4.0,SN2126TC020BPP03B0,50.0,PP039A1104,81,9.0,B,LT부족,3B,S-10S,WD,18.347
77,하이에어,정상,C020B,2.0,조선물류,1.0,6.0,6000.0,건일산업(주),SS,8.0,SN2126TC020BPP03B0,50.0,PP039A1104,82,11.0,B,LT부족,3B,S-10S,WD,41.109
78,하이에어,정상,C020B,0.75,조선물류,1.0,1.0,79.0,건일산업(주),SS,2.0,SN2126TC020BPP03B0,50.0,PP039A1105,83,13.0,B,LT부족,3B,S-80S,WD,1.0759999999999998
79,하이에어,준긴급,C020B,1.5,조선물류,1.0,0.0,1890.0,건일산업(주),SS,1.0,SN2126T0C200PP0500,50.0,PP05RA1105,84,11.0,B,제작지연,50,S-XXS,CI,18.347
80,하이에어,정상,C020B,3.0,조선물류,1.0,2.0,6000.0,건일산업(주),SS,3.0,SN2126TC020BPP03B0,50.0,PP039A1104,85,13.0,B,LT부족,3B,S-XXS,CM,178.278
81,하이에어,정상,C020B,3.0,조선물류,1.0,1.0,5500.0,건일산업(주),SS,2.0,SN2126TC020BPP03B0,50.0,PP039A1104,86,13.0,B,LT부족,3B,S-XXS,CM,159.497
82,하이에어,준긴급,C020B,1.5,조선물류,1.0,0.0,1890.0,건일산업(주),SS,1.0,SN2126T0C200PP0500,50.0,PP05RA1105,87,11.0,B,제작지연,50,S-XXS,CT,18.347
83,하이에어,정상,C020B,2.0,조선물류,1.0,7.0,5018.0,건일산업(주),SS,8.0,SN2126TC020BPP03B0,50.0,PP039A1104,88,9.0,B,LT부족,3B,S-10S,WD,33.017
84,하이에어,정상,C020A,1.0,조선물류,1.0,1.0,164.0,건일산업(주),SS,2.0,SN2126T0C100PP0500,30.0,PP058A1105,89,29.0,A,제작지연,50,S-80S,WD,1.44
85,하이에어,정상,C020A,1.0,조선물류,1.0,2.0,5510.0,건일산업(주),SS,4.0,SN2126T0C100PP0500,30.0,PP058A1105,90,27.0,A,제작지연,50,S-80S,WD,23.548
86,하이에어,정상,C020A,3.0,조선물류,1.0,1.0,5872.0,건일산업(주),SS,3.0,SN2126T0C100PP0500,30.0,PP058A1104,91,21.0,A,제작지연,50,S-10S,WD,45.104
87,하이에어,최소,C020B,2.0,조선물류,1.0,0.0,600.0,건일산업(주),SS,1.0,SN2126T0C200PP0501,30.0,PP051A1104,92,11.0,B,LT부족,70,S-10S,WD,2.38
88,하이에어,정상,C030A,10.0,조선물류,1.0,0.0,3276.0,부흥,CN,1.0,SN2126TC030APP03B0,70.0,PP039A1103,93,15.0,A,제작지연,3B,T-6.35,FW,155.27
89,하이에어,정상,C030A,10.0,조선물류,1.0,1.0,2378.0,부흥,CN,2.0,SN2126TC030APP03B0,70.0,PP039A1103,94,9.0,A,제작지연,3B,T-6.35,FW,141.07299999999995
90,하이에어,정상,C030A,10.0,조선물류,1.0,1.0,4519.0,부흥,CN,2.0,SN2126TC030APP03B0,70.0,PP039A1103,95,9.0,A,제작지연,3B,T-6.35,FW,242.548
91,하이에어,정상,C030A,10.0,조선물류,1.0,1.0,6000.0,부흥,CN,2.0,SN2126TC030APP03B0,70.0,PP039A1103,96,17.0,A,제작지연,3B,T-6.35,FW,554.535
92,하이에어,정상,C030A,10.0,조선물류,1.0,1.0,879.0,부흥,CN,3.0,SN2126T0C100PP0500,70.0,PP05RA1103,97,20.0,A,제작지연,50,T-6.35,FW,96.306
