,Emergency,ApplyLeadTime,STG,Service,DIA,Length,Pass,Sch,Material,Weight,MemberCount,JointCount,Making_Co,MakingLT
250,0.0,정상,3B,PL,2.0,6000.0,A,S-160,CS,75.6,3.0,2.0,성일SIM함안공장,30.0
251,0.0,정상,3B,PL,2.0,6000.0,A,S-160,CS,78.59,3.0,2.0,(주)성광테크,36.0
252,0.0,정상,3B,WM,2.0,2738.0,A,S-160,CS,54.485,6.0,5.0,성일SIM함안공장,58.0
253,0.0,정상,3B,WM,2.0,6000.0,A,S-160,CS,80.07,4.0,3.0,성일SIM함안공장,30.0
254,0.0,정상,3B,WM,2.0,3198.0,A,S-160,CS,53.589,7.0,6.0,성일SIM함안공장,42.0
256,0.0,정상,3B,WM,2.0,2858.0,A,S-160,CS,38.882,4.0,3.0,성일SIM함안공장,30.0
257,0.0,정상,3B,WM,2.0,2437.0,A,S-160,CS,27.075,0.0,3.0,성일SIM함안공장,36.0
259,0.0,정상,3B,CDM,3.0,813.0,A,S-80,CS,25.34,3.0,2.0,성일SIM함안공장,48.0
262,0.0,정상,3B,CDM,3.0,6000.0,A,S-80,CS,91.62,1.0,0.0,성일SIM함안공장,23.0
263,0.0,정상,3B,CDM,3.0,1235.0,A,S-80,CS,27.484,4.0,3.0,성일SIM함안공장,48.0
264,0.0,정상,3B,CDW,3.0,3569.0,A,S-80,CS,92.244,3.0,2.0,성일SIM함안공장,48.0
266,0.0,정상,3B,CDW,3.0,6000.0,A,S-80,CS,91.62,1.0,0.0,성일SIM함안공장,23.0
267,0.0,정상,3B,CDW,3.0,3833.0,A,S-80,CS,87.477,5.0,4.0,성일SIM함안공장,56.0
268,0.0,정상,3B,CDW,3.0,6000.0,A,S-80,CS,91.62,1.0,0.0,성일SIM함안공장,23.0
269,0.0,정상,3B,FGL,2.0,2089.0,A,S-160,CS,51.25,6.0,5.0,성일SIM함안공장,42.0
270,0.0,정상,40,PL,2.0,5354.0,A,S-160,CS,60.813,2.0,1.0,성일SIM함안공장,48.0
271,0.0,정상,3B,PL,2.0,6000.0,A,S-160,CS,66.66,1.0,0.0,성일SIM함안공장,23.0
272,0.0,정상,3B,CM,3.0,6000.0,A,S-80,CS,96.24,2.0,1.0,성일SIM함안공장,36.0
273,0.0,정상,3B,CM,3.0,6000.0,A,S-80,CS,102.55,3.0,2.0,성일SIM함안공장,36.0
274,0.0,정상,3B,PL,3.0,6000.0,A,S-80,CS,106.45,3.0,2.0,(주)성광테크,48.0
275,0.0,정상,3B,WM,3.0,2425.0,A,S-80,CS,87.765,5.0,4.0,(주)성광테크,36.0
277,0.0,정상,3B,DHW,4.0,0.0,A,S-40,CS,138.34799999999998,3.0,2.0,(주)성광테크,38.0
278,0.0,정상,3B,PL,4.0,4543.0,A,S-40,CS,86.021,3.0,2.0,성일SIM함안공장,48.0
279,0.0,정상,3B,CM,4.0,6000.0,A,S-40,CS,210.85,5.0,4.0,해승케이피피,56.0
280,0.0,정상,3B,WM,3.0,6000.0,A,S-80,CS,96.24,2.0,1.0,성일SIM함안공장,36.0
281,0.0,정상,3B,PL,4.0,6000.0,A,S-40,CS,207.87,5.0,4.0,성일SIM함안공장,48.0
282,0.0,정상,3B,WM,4.0,4793.0,A,S-40,CS,92.451,5.0,4.0,해승케이피피,62.0
283,0.0,정상,40,PA,6.0,3454.0,A,S-40,CS,132.80700000000002,4.0,3.0,성일SIM함안공장,58.0
285,0.0,정상,50,VA,6.0,0.0,A,S-40,CS,249.02,6.0,5.0,(주)성광테크,38.0
286,0.0,정상,3B,CDW,3.0,6000.0,A,S-80,CS,91.62,1.0,0.0,성일SIM함안공장,23.0
287,0.0,정상,3B,PL,2.0,2660.0,A,S-160,CS,48.655,6.0,5.0,해승케이피피,53.0
288,1.0,정상,3B,WM,2.0,2437.0,A,S-160,CS,47.298,7.0,6.0,성일SIM함안공장,18.0
290,1.0,정상,40,DM,2.0,1354.0,A,S-10S,SS,9.791,7.0,6.0,건일산업(주),8.0
291,0.0,정상,40,DM,2.0,6000.0,A,S-10S,SS,23.8,1.0,0.0,삼성중공업(주)거제,21.0
292,0.0,정상,40,FWL,2.0,3649.0,A,S-10S,SS,24.98,6.0,5.0,삼성중공업(주)거제,37.0
293,0.0,정상,40,PW,2.0,5296.0,A,S-10S,SS,23.707,2.0,1.0,삼성중공업(주)거제,21.0
294,0.0,정상,3B,CM,3.0,3939.0,A,S-XXS,SS,162.572,6.0,2.0,성일,44.0
296,0.0,정상,3B,CM,3.0,1713.0,A,S-XXS,SS,53.069,3.0,2.0,삼성중공업(주)거제,35.0
297,0.0,정상,3B,CM,3.0,6000.0,A,S-XXS,SS,173.56799999999996,2.0,1.0,삼성중공업(주)거제,28.0
298,0.0,정상,3B,CM,3.0,6000.0,A,S-XXS,SS,175.168,2.0,1.0,삼성중공업(주)거제,28.0
299,0.0,정상,3B,CM,3.0,6000.0,A,S-XXS,SS,173.56799999999996,2.0,1.0,삼성중공업(주)거제,28.0
300,0.0,정상,3B,CM,3.0,6000.0,A,S-XXS,SS,184.868,3.0,2.0,삼성중공업(주)거제,34.0
301,0.0,정상,3B,CM,3.0,6000.0,A,S-10S,SS,44.496,3.0,2.0,삼성중공업(주)거제,34.0
302,0.0,정상,40,CM,3.0,4040.0,A,S-10S,SS,26.52,1.0,0.0,삼성중공업(주)거제,21.0
303,0.0,정상,40,WD,3.0,812.0,A,S-10S,SS,14.867,5.0,4.0,삼성중공업(주)거제,29.0
304,1.0,정상,3B,PL,4.0,3190.0,A,S-10S,SS,80.94,12.0,11.0,건일산업(주),29.0
305,0.0,정상,3B,PL,4.0,3440.0,A,S-10S,SS,80.923,12.0,11.0,건일산업(주),31.0
306,0.0,정상,40,WD,3.0,812.0,A,S-10S,SS,14.867,5.0,4.0,삼성중공업(주)거제,37.0
307,0.0,정상,3B,CDD,6.0,3523.0,A,S-10S,SS,71.491,4.0,3.0,삼성중공업(주)거제,21.0
308,0.0,정상,3B,CDD,6.0,6000.0,A,S-10S,SS,166.0,2.0,1.0,성일,49.0
309,0.0,정상,3B,CDD,6.0,6000.0,A,S-10S,SS,166.0,2.0,1.0,성일,49.0
310,1.0,정상,40,FWH,6.0,6000.0,A,S-10S,SS,102.41,6.0,5.0,건일산업(주),30.0
311,1.0,정상,40,CWR,24.0,6000.0,A,S-20,CS,1570.06,8.0,7.0,성일SIM함안공장,27.0
312,1.0,정상,40,CWR,24.0,6000.0,A,S-20,CS,1772.14,8.0,7.0,성일SIM함안공장,27.0
313,1.0,정상,40,CWS,24.0,6000.0,A,S-20,CS,1772.14,8.0,7.0,(주)성광테크,20.0
314,1.0,정상,40,CWS,24.0,6000.0,A,S-20,CS,1570.06,8.0,7.0,(주)성광테크,27.0
315,0.0,정상,50,CWS,24.0,2742.0,A,S-20,CS,386.951,1.0,0.0,성일SIM함안공장,31.0
316,0.0,정상,40,AI,2.0,6000.0,A,S-80,CS,44.88,1.0,0.0,(주)성광테크,37.0
317,0.0,정상,50,N,2.0,2544.0,A,S-80,CS,24.429,3.0,1.0,(주)성광테크,35.0
318,0.0,정상,40,WM,2.0,6000.0,A,S-160,CS,71.13,2.0,1.0,성일SIM함안공장,38.0
319,0.0,정상,40,PL,3.0,6000.0,A,S-80,CS,96.24,2.0,1.0,(주)성광테크,48.0
320,0.0,정상,50,AI,4.0,2310.0,A,S-40,CS,51.145,3.0,1.0,성일SIM함안공장,46.0
321,0.0,정상,50,AU,2.0,2544.0,A,S-80,CS,24.429,3.0,1.0,(주)성광테크,37.0
322,0.0,정상,40,AU,2.0,6000.0,A,S-80,CS,44.88,1.0,0.0,(주)성광테크,37.0
323,0.0,정상,40,CDW,2.0,1134.0,A,S-160,CS,27.133000000000006,5.0,4.0,성일SIM함안공장,58.0
324,0.0,정상,40,CDW,2.0,4278.0,A,S-160,CS,72.845,3.0,2.0,성일SIM함안공장,58.0
325,0.0,정상,50,CDW,2.0,2750.0,A,S-160,CS,30.553,1.0,0.0,성일SIM함안공장,38.0
326,0.0,정상,40,FGL,2.0,6001.0,A,S-160,CS,79.35600000000002,5.0,4.0,성일SIM함안공장,40.0
328,0.0,정상,40,HWS,2.0,6000.0,A,S-80,CS,50.53,2.0,1.0,(주)성광테크,36.0
329,0.0,정상,40,N,2.0,4277.0,A,S-80,CS,50.737,7.0,6.0,(주)성광테크,37.0
330,0.0,정상,40,CDW,3.0,3093.0,A,S-80,CS,71.767,4.0,3.0,성일SIM함안공장,58.0
331,0.0,정상,40,DHW,3.0,0.0,A,S-40,CS,88.765,9.0,8.0,성일SIM함안공장,40.0
333,0.0,정상,40,MT,4.0,11500.0,A,S-40,CS,190.88,3.0,2.0,성일SIM함안공장,46.0
334,0.0,정상,40,MT,4.0,2030.0,A,S-40,CS,59.463,5.0,4.0,성일SIM함안공장,46.0
335,0.0,정상,40,FWH,6.0,5935.0,A,S-40,CS,177.66299999999995,2.0,1.0,성일SIM함안공장,46.0
336,0.0,정상,50,FWH,6.0,2750.0,A,S-40,CS,77.715,1.0,0.0,성일SIM함안공장,33.0
338,0.0,정상,40,PA,6.0,3986.0,A,S-40,CS,144.694,5.0,4.0,성일SIM함안공장,58.0
339,0.0,정상,40,PA,6.0,5272.0,A,S-40,CS,168.86700000000005,3.0,2.0,성일SIM함안공장,47.0
340,0.0,정상,50,CI,1.5,2600.0,A,S-XXS,SS,25.24,1.0,0.0,삼성중공업(주)거제,24.0
341,0.0,정상,50,CT,1.5,2600.0,A,S-XXS,SS,25.24,1.0,0.0,삼성중공업(주)거제,24.0
342,0.0,정상,40,MT,1.5,2819.0,A,S-XXS,SS,44.129,4.0,3.0,삼성중공업(주)거제,58.0
343,0.0,정상,50,MT,1.5,2671.0,A,S-XXS,SS,25.929,1.0,0.0,삼성중공업(주)거제,24.0
344,0.0,정상,40,PW,2.0,6000.0,A,S-10S,SS,23.8,1.0,0.0,삼성중공업(주)거제,24.0
345,0.0,정상,40,WD,2.0,6000.0,A,S-10S,SS,23.8,1.0,0.0,삼성중공업(주)거제,24.0
346,0.0,정상,40,WD,3.0,6000.0,A,S-10S,SS,45.93,3.0,2.0,삼성중공업(주)거제,37.0
347,0.0,정상,40,WD,2.0,3848.0,A,S-10S,SS,27.777,6.0,5.0,성일,44.0
348,0.0,정상,50,WD,2.0,2152.0,A,S-10S,SS,8.536,1.0,0.0,삼성중공업(주)거제,24.0
349,0.0,정상,40,WD,3.0,5342.0,A,S-10S,SS,41.68600000000001,3.0,2.0,삼성중공업(주)거제,37.0
350,0.0,정상,40,DM,2.0,6000.0,A,S-10S,SS,23.8,1.0,0.0,삼성중공업(주)거제,24.0
351,0.0,정상,40,FWL,2.0,6000.0,A,S-10S,SS,28.61,3.0,2.0,삼성중공업(주)거제,37.0
352,0.0,정상,40,CM,3.0,2272.0,A,S-XXS,SS,141.414,8.0,7.0,삼성중공업(주)거제,37.0
353,0.0,정상,50,CM,3.0,2488.0,A,S-XXS,SS,70.02,1.0,0.0,삼성중공업(주)거제,24.0
354,1.0,정상,50,FWH,20.0,6000.0,A,S-30,CS,1359.64,6.0,5.0,(주)성광테크,24.0
355,0.0,정상,3B,AI,2.0,3850.0,A,S-80,CS,39.56800000000001,5.0,4.0,성일SIM함안공장,25.0
356,0.0,정상,3B,AU,2.0,5156.0,A,S-80,CS,51.707,4.0,3.0,성일SIM함안공장,25.0
357,0.0,정상,3B,AU,2.0,6000.0,A,S-80,CS,56.52,4.0,3.0,성일SIM함안공장,25.0
362,0.0,정상,3B,AU,2.0,4100.0,A,S-80,CS,42.56,5.0,4.0,성일SIM함안공장,36.0
363,0.0,정상,50,HWR,2.0,4344.0,A,S-80,CS,39.043,3.0,2.0,성일SIM함안공장,36.0
364,0.0,정상,50,HWS,2.0,4394.0,A,S-80,CS,39.417,3.0,2.0,성일SIM함안공장,36.0
365,0.0,정상,3B,N,2.0,4638.0,A,S-80,CS,54.25899999999999,10.0,6.0,성일SIM함안공장,36.0
366,0.0,정상,3B,N,2.0,2048.0,A,S-80,CS,20.689,3.0,2.0,성일SIM함안공장,25.0
367,0.0,정상,3B,N,2.0,3138.0,A,S-80,CS,40.403,9.0,8.0,성일SIM함안공장,25.0
